"Pay_Grade","Branch","Sex","value","Rank_Title"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
"E1","Marine","Female","659","Private"
